song_name,file_size_kb,date_process,wiener_improvement_%,wiener_performance,wiener_time_s,mmse_improvement_%,mmse_performance,mmse_time_s,best_improvement_%,best_performance,best_time_s
3_SZA__Love_Galore_6.wav,837.66,2025-11-22T20:57:49.251862,16.02,0.82,0.036,16.7,0.83,0.065,16.7,0.83,0.065
14_SZA__Anything_Filtered_Acapella_Vocals_4.wav,1652.04,2025-11-22T20:57:49.466616,6.23,0.76,0.065,9.35,0.77,0.118,9.35,0.77,0.118
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_5.wav,3220.04,2025-11-22T20:57:49.901382,14.63,0.82,0.142,15.13,0.82,0.237,15.13,0.82,0.237
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_4.wav,2085.04,2025-11-22T20:57:50.170336,12.27,0.81,0.082,12.62,0.81,0.152,12.62,0.81,0.152
14_SZA__Anything_Filtered_Acapella_Vocals_5.wav,398.04,2025-11-22T20:57:50.226626,4.76,0.77,0.016,7.85,0.79,0.029,7.85,0.79,0.029
11_SZA__Kill_Bill_Vocals_Audio_Vocals_0.wav,11941.04,2025-11-22T20:57:51.794994,0.39,0.75,0.477,3.12,0.77,0.903,3.12,0.77,0.903
3_SZA__Love_Galore_5.wav,774.04,2025-11-22T20:57:51.897925,10.73,0.8,0.03,13.92,0.82,0.056,13.92,0.82,0.056
14_SZA__Anything_Filtered_Acapella_Vocals_7.wav,484.04,2025-11-22T20:57:51.963171,6.03,0.77,0.02,8.18,0.78,0.034,8.18,0.78,0.034
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_6.wav,961.04,2025-11-22T20:57:52.086061,5.53,0.77,0.037,7.47,0.78,0.069,7.47,0.78,0.069
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_7.wav,430.04,2025-11-22T20:57:52.144571,8.86,0.8,0.017,11.61,0.81,0.031,11.61,0.81,0.031
14_SZA__Anything_Filtered_Acapella_Vocals_6.wav,1585.04,2025-11-22T20:57:52.345475,7.65,0.79,0.061,9.58,0.8,0.113,9.58,0.8,0.113
3_SZA__Love_Galore_4.wav,585.04,2025-11-22T20:57:52.427714,10.61,0.8,0.023,11.99,0.81,0.046,11.99,0.81,0.046
6_SZA__The_Weekend_Filtered_Acapella_Vocals_10.wav,747.04,2025-11-22T20:57:52.533935,4.26,0.76,0.032,5.95,0.77,0.06,5.95,0.77,0.06
14_SZA__Anything_Filtered_Acapella_Vocals_2.wav,402.04,2025-11-22T20:57:52.599276,2.4,0.76,0.018,6.11,0.78,0.033,6.11,0.78,0.033
3_SZA__Love_Galore_0.wav,493.04,2025-11-22T20:57:52.675916,15.96,0.83,0.022,16.43,0.83,0.04,16.43,0.83,0.04
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_3.wav,1987.04,2025-11-22T20:57:52.930302,11.94,0.81,0.076,13.36,0.82,0.143,13.36,0.82,0.143
15_SZA__20_Something_Filtered_Acapella_Vocals_10.wav,363.04,2025-11-22T20:57:52.981343,3.3,0.77,0.014,6.25,0.78,0.027,6.25,0.78,0.027
15_SZA__20_Something_Filtered_Acapella_Vocals_11.wav,454.04,2025-11-22T20:57:53.044117,10.88,0.81,0.018,12.25,0.81,0.034,12.25,0.81,0.034
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_2.wav,1736.04,2025-11-22T20:57:53.278820,17.91,0.84,0.068,17.67,0.84,0.138,17.91,0.84,0.068
3_SZA__Love_Galore_1.wav,571.04,2025-11-22T20:57:53.359312,14.67,0.82,0.023,15.6,0.83,0.043,15.6,0.83,0.043
14_SZA__Anything_Filtered_Acapella_Vocals_3.wav,2119.04,2025-11-22T20:57:53.637052,8.97,0.8,0.085,10.8,0.8,0.158,10.8,0.8,0.158
6_SZA__The_Weekend_Filtered_Acapella_Vocals_11.wav,705.04,2025-11-22T20:57:53.742429,-5.69,0.72,0.029,-2.41,0.73,0.058,-2.41,0.73,0.058
14_SZA__Anything_Filtered_Acapella_Vocals_1.wav,526.04,2025-11-22T20:57:53.820286,11.07,0.81,0.022,12.67,0.81,0.042,12.67,0.81,0.042
3_SZA__Love_Galore_3.wav,9521.04,2025-11-22T20:57:55.037856,9.12,0.8,0.375,11.65,0.81,0.701,11.65,0.81,0.701
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_0.wav,3224.04,2025-11-22T20:57:55.456325,14.92,0.83,0.127,15.53,0.83,0.239,15.53,0.83,0.239
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_1.wav,1041.04,2025-11-22T20:57:55.594786,12.22,0.81,0.042,13.85,0.82,0.076,13.85,0.82,0.076
3_SZA__Love_Galore_2.wav,2156.04,2025-11-22T20:57:55.870995,-0.82,0.74,0.084,6.82,0.78,0.154,6.82,0.78,0.154
14_SZA__Anything_Filtered_Acapella_Vocals_0.wav,424.04,2025-11-22T20:57:55.931863,9.46,0.8,0.017,11.5,0.81,0.031,11.5,0.81,0.031
1_SZA__Supermodel_Filtered_Acapella_Vocals_8.wav,424.04,2025-11-22T20:57:55.990720,11.64,0.81,0.017,12.99,0.82,0.031,12.99,0.82,0.031
